name,price,unit,imageUrl,product_type
La Espanola Natives Olivenöl extra virgen 500ml,"8,99 €","500ml (1 l = 17,98 €)",https://img.rewe-static.de/5475872/1207850_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Fiore Natives Olivenöl extra 750ml,"8,99 €","0,75l (1 l = 11,99 €)",https://img.rewe-static.de/2372767/23629840_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bertolli Cucina Olivenöl 500ml,"7,99 €","500ml (1 l = 15,98 €)",https://img.rewe-static.de/4874854/27775625_digital-image.png?imwidth=304&impolicy=kues,olivenoel
REWE Bio Natives Olivenöl extra 500ml,"7,99 €","500ml (1 l = 15,98 €)",https://img.rewe-static.de/0201409/26303545_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bertolli Originale Natives Olivenöl Extra 500ml,"7,99 €","500ml (1 l = 15,98 €)",https://img.rewe-static.de/6551025/33112554_digital-image.png?imwidth=304&impolicy=kues,olivenoel
REWE Feine Welt Natives Olivenöl extra Lesvos g.g.A. 500ml,"8,99 €","500ml (1 l = 17,98 €)",https://img.rewe-static.de/2178952/22944258_digital-image.png?imwidth=304&impolicy=kues,olivenoel
De Cecco Natives Olivenöl extra Classico 500ml,"7,49 €","500ml (1 l = 14,98 €)",https://img.rewe-static.de/8104730/28768542_digital-image.png?imwidth=304&impolicy=kues,olivenoel
REWE Bio Natives Olivenöl 750ml,"6,95 €","750ml (1 l = 9,27 €)",https://img.rewe-static.de/8427501/31887593_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Rewe Beste Wahl Italienisches Natives Olivenöl 500ml,"8,99 €","500ml (1 l = 17,98 €)",https://img.rewe-static.de/8425181/31525366_digital-image.png?imwidth=304&impolicy=kues,olivenoel
"Gaea Olivenöl extra Hania 0,5l","11,99 €","500ml (1 l = 23,98 €)",https://img.rewe-static.de/1436312/23691880_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Kunella Natives Olivenöl extra kaltgepreßt 250ml,"6,49 €","250ml (1 l = 25,96 €)",https://img.rewe-static.de/3866475/661340_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bertolli Bio Natives Olivenöl Extra 500ml,"8,99 €","500ml (1 kg = 17,98 €)",https://img.rewe-static.de/7251096/27890484_digital-image.png?imwidth=304&impolicy=kues,olivenoel
REWE Beste Wahl Olivenöl raffiniert 500ml,"6,99 €","500ml (1 l = 13,98 €)",https://img.rewe-static.de/7288865/28854683_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bertolli Gentile Natives Olivenöl Extra 500ml,"7,99 €","500ml (1 l = 15,98 €)",https://img.rewe-static.de/0394440/2425580_digital-image.png?imwidth=304&impolicy=kues,olivenoel
De Cecco Natives Olivenöl extra Fruttato 500ml,"7,49 €","500ml (1 l = 14,98 €)",https://img.rewe-static.de/8253727/29841914_digital-image.png?imwidth=304&impolicy=kues,olivenoel
De Cecco Bio Natives Olivenöl Extra 500ml,"9,99 €","500ml (1 l = 19,98 €)",https://img.rewe-static.de/8475575/32112160_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Piatti Onorati Bio Demeter Olivenöl nativ 500ml,"13,99 €","500ml (1 l = 27,98 €)",https://img.rewe-static.de/9099363/43644758_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bertolli Bratolivenöl 500ml,"6,99 €","500ml (1 l = 13,98 €)",https://img.rewe-static.de/7894863/33970699_digital-image.png?imwidth=304&impolicy=kues,olivenoel
ja! Natives Olivenöl extra 750ml,"5,99 €","750ml (1 l = 7,99 €)",https://img.rewe-static.de/0420386/24710761_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bautz'ner Tomaten Ketchup 1l,"2,99 €",1l,https://img.rewe-static.de/1102949/11760240_digital-image.png?imwidth=304&impolicy=kues,sossen
REWE Beste Wahl Tomatenketchup 300ml,"1,29 €","300ml (1 l = 4,30 €)",https://img.rewe-static.de/7262335/28365301_digital-image.png?imwidth=304&impolicy=kues,sossen
Heinz Tomato Ketchup 400ml,"2,79 €","400ml (1 l = 6,98 €)",https://img.rewe-static.de/2411634/23868581_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Tomatenketchup 450ml,"2,29 €","450ml (1 l = 5,09 €)",https://img.rewe-static.de/7170327/20674902_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Tomatenketchup 750ml,"3,29 €","750ml (1 l = 4,39 €)",https://img.rewe-static.de/1066994/1681110_digital-image.png?imwidth=304&impolicy=kues,sossen
Born Tomaten Ketchup 450ml,"1,99 €","450ml (1 l = 4,42 €)",https://img.rewe-static.de/7787596/1026530_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Curry Ketchup Delikat 450ml,"2,29 €","450ml (1 l = 5,09 €)",https://img.rewe-static.de/9049836/42285741_digital-image.png?imwidth=304&impolicy=kues,sossen
Bautz'ner Quetch'up Tomatenketchup 500ml,"2,29 €",500ml,https://img.rewe-static.de/7629896/43112928_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Hot Chili Ketchup 450ml,"2,29 €","450ml (1 l = 5,09 €)",https://img.rewe-static.de/2328429/24930905_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Tomatenketchup ohne Zuckerzusatz 450ml,"2,29 €","450ml (1 l = 5,09 €)",https://img.rewe-static.de/0167712/1348210_digital-image.png?imwidth=304&impolicy=kues,sossen
REWE Bio Tomatenketchup 500ml,"1,89 €","500ml (1 l = 3,78 €)",https://img.rewe-static.de/0201400/2074620_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Bio Kinder Tomaten Ketchup 450ml,"3,39 €","450ml (1 l = 7,53 €)",https://img.rewe-static.de/8896076/39083305_digital-image.png?imwidth=304&impolicy=kues,sossen
Heinz Tomato Ketchup ohne Zusatz von Zucker und Salz 400ml,"3,49 €","400ml (1 l = 8,73 €)",https://img.rewe-static.de/8401001/31062006_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Premium-Tomatenketchup 450ml,"2,59 €","450ml (1 l = 5,76 €)",https://img.rewe-static.de/7447051/7470520_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup Curry Delikat 800ml,"3,39 €","800ml (1 l = 4,24 €)",https://img.rewe-static.de/7633236/41788887_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup 30% weniger Zucker 300ml,"2,29 €","300ml (1 l = 7,63 €)",https://img.rewe-static.de/8897592/38461533_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup Curry Delikat 300ml,"2,29 €","300ml (1 l = 7,63 €)",https://img.rewe-static.de/9102670/42139794_digital-image.png?imwidth=304&impolicy=kues,sossen
ja! Tomaten-Ketchup 500ml,"1,29 €","500ml (1 l = 2,58 €)",https://img.rewe-static.de/7291190/28296386_digital-image.png?imwidth=304&impolicy=kues,sossen
ja! Tomatenketchup mit Zucker & Süßungsmittel 500ml,"1,79 €","500ml (1 l = 3,58 €)",https://img.rewe-static.de/0897016/24881485_digital-image.png?imwidth=304&impolicy=kues,sossen
Krüger Chai Latte Schoko Sweet India 10 Beutel 250g,"2,99 €","250g (1 kg = 11,96 €)",https://img.rewe-static.de/0890484/7740080_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Erdbeere Orange 45g, 20 Beutel","2,35 €","45g (1 kg = 52,22 €)",https://img.rewe-static.de/7676469/40130258_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Gute Nacht Melatonin Lavendel-Kamille 32g, 16 Beutel","2,49 €","32g (1 kg = 77,81 €)",https://img.rewe-static.de/8984312/41744183_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Sprung ins Zauberland Erdbeere-Minze 40,5g, 18 Beutel","2,39 €","40,50g (1 kg = 59,01 €)",https://img.rewe-static.de/8771483/40708073_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Blaubeere 45g, 20 Beutel","2,35 €","45g (1 kg = 52,22 €)",https://img.rewe-static.de/8944256/42904350_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Detox your feelings 40g, 20 Beutel","2,69 €","40g (1 kg = 67,25 €)",https://img.rewe-static.de/7647047/41744181_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Kräutertee Halswärmer 32g, 16 Beutel","2,49 €","32g (1 kg = 77,81 €)",https://img.rewe-static.de/8987841/43405587_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Milde Hagebutten-Mischung 75g, 25 Beutel","2,35 €","75g (1 kg = 31,33 €)",https://img.rewe-static.de/6818277/16001230_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Aprikose-Pfirsich 55g, 20 Beutel","2,35 €","55g (1 kg = 42,73 €)",https://img.rewe-static.de/7036731/28273183_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Süßer Bratapfel 50g, 20 Beutel","2,49 €","50g (1 kg = 49,80 €)",https://img.rewe-static.de/2803646/25609886_digital-image.png?imwidth=304&impolicy=kues,tee
Hampstead Bio Demeter Earl Grey Tea 40g,"3,99 €","40g (1 kg = 99,75 €)",https://img.rewe-static.de/7819845/43527154_digital-image.png?imwidth=304&impolicy=kues,tee
Hampstead Bio Demeter Pure Green Tea 20 Beutel 40g,"3,99 €","40g (1 kg = 99,75 €)",https://img.rewe-static.de/8600367/38811039_digital-image.png?imwidth=304&impolicy=kues,tee
David Rio Elephant Vanilla Chai 398g,"12,99 €","398g (1 kg = 32,64 €)",https://img.rewe-static.de/2704936/39766457_digital-image.png?imwidth=304&impolicy=kues,tee
Giest & Co. Früchtetee Waldspaziergang 100g,"5,99 €","100g (1 kg = 59,90 €)",https://img.rewe-static.de/8508075/43644733_digital-image.png?imwidth=304&impolicy=kues,tee
Bad Heilbrunner Arzneitee Nieren- und Blasentee 8 Stück,"1,29 €",8 Stück,https://img.rewe-static.de/8639834/34125957_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Prinzessin Lillifee 55g, 20 Beutel","2,49 €","55g (1 kg = 45,27 €)",https://img.rewe-static.de/1298928/21844573_digital-image.png?imwidth=304&impolicy=kues,tee
ja! Zitronentee löslich 400g,"1,99 €","400g (1 kg = 4,98 €)",https://img.rewe-static.de/0713079/26680375_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Waldbeere Tee 62,5g, 25 Beutel","1,39 €","62,50g (1 kg = 22,24 €)",https://img.rewe-static.de/8605199/33722058_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Kamillentee 37,5g, 25 Beutel","0,89 €","37,50g (1 kg = 23,73 €)",https://img.rewe-static.de/0546026/2972440_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Türkischer Apfel Tee 62,5g 25 Beutel","1,69 €","62,50g (1 kg = 27,04 €)",https://img.rewe-static.de/8972047/40683563_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Earl Grey Tee 70g, 40 Beutel","0,99 €","70g (1 kg = 14,14 €)",https://img.rewe-static.de/2725612/25564060_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Fenchel Anis Kümmel Tee 50g, 25 Beutel","1,19 €","50g (1 kg = 23,80 €)",https://img.rewe-static.de/8606032/33722066_digital-image.png?imwidth=304&impolicy=kues,tee
ja! Teegetränk Waldfrucht 400g,"1,99 €","400g (1 kg = 4,98 €)",https://img.rewe-static.de/8884938/38111125_digital-image.png?imwidth=304&impolicy=kues,tee
ja! Teegetränk Pfirsich 400g,"1,99 €","400g (1 kg = 4,98 €)",https://img.rewe-static.de/8881363/38111090_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Pfefferminztee 56g, 25 Beutel","0,89 €","56,25g (1 kg = 15,82 €)",https://img.rewe-static.de/0546040/3871060_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Ceylon Indien 87,5g, 50 Beutel","0,99 €","87,50g (1 kg = 11,31 €)",https://img.rewe-static.de/8533461/33094616_digital-image.png?imwidth=304&impolicy=kues,tee
"Coca-Cola Zero Sugar 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/2833770/25365898_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/2833588/25366075_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola 12x1l,"15,99 €","12x1l (1 l = 1,33 €)
zzgl. 3,30€ Pfand",https://img.rewe-static.de/8002614/943560_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola light 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/2833777/25365901_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Cherry 0,33l","0,99 €","0,33l (1 l = 3 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/0038624/35289088_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Sugar 0,33l","0,99 €","0,33l (1 l = 3 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/0045656/20711572_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Zero Sugar 12x1l,"15,99 €","12x1l (1 l = 1,33 €)
zzgl. 3,30€ Pfand",https://img.rewe-static.de/0045620/2008010_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 0,33l","0,99 €","0,33l (1 l = 3 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/6359221/887830_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Zero Sugar 6x2l,"13,14 €","6x2l (1 l = 1,10 €)
zzgl. 1,50€ Pfand",https://img.rewe-static.de/0049838/21202362_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 4x1,5l",,"4x1,50l (1 l = 0,79 €)
zzgl. 1,00€ Pfand",https://img.rewe-static.de/6731201/2325040_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 6x0,33l","4,29 €","6x0,33l (1 l = 2,17 €)
zzgl. 1,50€ Pfand",https://img.rewe-static.de/0436772/22381388_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 1,5l",,"1,50l (1 l = 0,79 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/6730574/25631786_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 0,85l","1,39 €","0,85l (1 l = 1,64 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/9875133/49724505_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola 2l,"2,19 €","2l (1 l = 1,10 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/6729673/5904320_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 0,33l","0,72 €","0,33l (1 l = 2,18 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/0436785/22569103_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Sugar 4x1,5l",,"4x1,50l (1 l = 0,79 €)
zzgl. 1,00€ Pfand",https://img.rewe-static.de/0054164/26127982_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero 6x0,33l","4,29 €","6x0,33l (1 l = 2,17 €)
zzgl. 1,50€ Pfand",https://img.rewe-static.de/2503623/24851090_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola 1l,"1,39 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/8002630/6079040_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero 0,33l","0,72 €","0,33l (1 l = 2,18 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/2500225/25887235_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 0,5l","1,29 €","0,50l (1 l = 2,58 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/0734457/24847371_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola 1l,"1,79 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/8214102/30826451_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Sugar 1,5l",,"1,50l (1 l = 0,79 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/0054163/26127985_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero koffeinfrei 4x1,5l",,"4x1,50l (1 l = 0,79 €)
zzgl. 1,00€ Pfand",https://img.rewe-static.de/2158871/25563499_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Sugar 0,85l","1,39 €","0,85l (1 l = 1,64 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/9891393/49724585_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola light taste 4x1,5l",,"4x1,50l (1 l = 0,79 €)
zzgl. 1,00€ Pfand",https://img.rewe-static.de/6731155/2524110_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero koffeinfrei 1,5l",,"1,50l (1 l = 0,79 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/1488518/27561906_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola light taste 1,5l",,"1,50l (1 l = 0,79 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/6730566/7484200_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Zero Sugar 2l,"2,19 €","2l (1 l = 1,10 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/0049831/25956564_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Cherry ohne Zucker 1,5l",,"1,50l (1 l = 0,79 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/8270580/31573348_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Vanilla ohne Zucker 4x1,5l",,"4x1,50l (1 l = 0,79 €)
zzgl. 1,00€ Pfand",https://img.rewe-static.de/8105975/30156857_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Cherry ohne Zucker 4x1,5l",,"4x1,50l (1 l = 0,79 €)
zzgl. 1,00€ Pfand",https://img.rewe-static.de/8259881/32343780_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Cherry 1l,"1,39 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/7007329/904570_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Sugar 4x0,5l","5,16 €","4x0,50l (1 l = 2,58 €)
zzgl. 1,00€ Pfand",https://img.rewe-static.de/2797367/26010196_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Vanilla Dose 0,33l","1,49 €","0,33l (1 l = 4,52 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/1054674/30706469_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Cherry ohne Zucker 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/8105183/30278127_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero koffeinfrei 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/2956343/31502604_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Lemon 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/8748592/39365856_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Zero Sugar 1l,"1,39 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/0045617/7444230_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Sugar 0,5l","1,29 €","0,50l (1 l = 2,58 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/0078429/24847135_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Zero koffeinfrei 1l,"1,39 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/1913214/21135214_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola light taste 0,5l","1,29 €","0,50l (1 l = 2,58 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/1361654/25137881_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero koffeinfrei 0,5l","1,29 €","0,50l (1 l = 2,58 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/2749962/31502600_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Zero Lemon 0,5l","1,29 €","0,50l (1 l = 2,58 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/8748084/36927908_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola Cherry ohne Zucker 0,5l","1,29 €","0,50l (1 l = 2,58 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/8260282/30322916_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola light taste 1l,"1,39 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/8002673/6079070_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Zero Lemon 1l,"1,39 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/8741710/34885986_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola Zero Sugar 1l,"1,79 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/8134809/30507448_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca Cola Vanilla Zero Sugar 1,5l",,"1,50l (1 l = 0,79 €)
zzgl. 0,25€ Pfand",https://img.rewe-static.de/8259774/30819947_digital-image.png?imwidth=304&impolicy=kues,cola
Coca-Cola light taste koffeinfrei 1l,"1,39 €","1l
zzgl. 0,15€ Pfand",https://img.rewe-static.de/8029180/7446830_digital-image.png?imwidth=304&impolicy=kues,cola
REWE Feine Welt Kartoffelchips mit Trüffelgeschmack 100g,"1,69 €","100g (1 kg = 16,90 €)",https://img.rewe-static.de/8000504/31147909_digital-image.png?imwidth=304&impolicy=search,https://shop.rewe.de/productList?objectsPerPage=80&search=kartoffelchips
Lay's Bugles Paprika Style 75g,"1,99 €","75g (1 kg = 26,53 €)",https://img.rewe-static.de/7535980/42618384_digital-image.png?imwidth=304&impolicy=search,https://shop.rewe.de/productList?objectsPerPage=80&search=kartoffelchips
Lay's Bugles Nacho Cheese 75g,"1,99 €","75g (1 kg = 26,53 €)",https://img.rewe-static.de/7599089/42866157_digital-image.png?imwidth=304&impolicy=search,https://shop.rewe.de/productList?objectsPerPage=80&search=kartoffelchips
Lorenz Crunchips Paprika 150g,,"150g (1 kg = 7,40 €)",https://img.rewe-static.de/7741099/36873912_digital-image.png?imwidth=304&impolicy=search,https://shop.rewe.de/productList?objectsPerPage=80&search=kartoffelchips
Lay's Salt & Vinegar 150g,"1,99 €","150g (1 kg = 13,27 €)",https://img.rewe-static.de/7793872/36340239_digital-image.png?imwidth=304&impolicy=search,https://shop.rewe.de/productList?objectsPerPage=80&search=kartoffelchips
Funny-frisch Kessel Chips CrossCut Spicy BBQ Sauce 120g,"2,49 €","120g (1 kg = 20,75 €)",https://img.rewe-static.de/9117621/44143329_digital-image.png?imwidth=304&impolicy=search,https://shop.rewe.de/productList?objectsPerPage=80&search=kartoffelchips
Lorenz Naturals Meersalz & Pfeffer 95g,"2,19 €","95g (1 kg = 23,05 €)",https://img.rewe-static.de/7238546/27875814_digital-image.png?imwidth=304&impolicy=search,https://shop.rewe.de/productList?objectsPerPage=80&search=kartoffelchips
