name,price,unit,imageUrl,product_type
Fiore Natives Olivenöl extra 750ml,"8,99 €","0,75l (1 l = 11,99 €)",https://img.rewe-static.de/2372767/23629840_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bertolli Cucina Olivenöl 500ml,"7,99 €","500ml (1 l = 15,98 €)",https://img.rewe-static.de/4874854/27775625_digital-image.png?imwidth=304&impolicy=kues,olivenoel
REWE Bio Natives Olivenöl extra 500ml,"7,99 €","500ml (1 l = 15,98 €)",https://img.rewe-static.de/0201409/26303545_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Bertolli Originale Natives Olivenöl Extra 500ml,"7,99 €","500ml (1 l = 15,98 €)",https://img.rewe-static.de/6551025/33112554_digital-image.png?imwidth=304&impolicy=kues,olivenoel
La Espanola Natives Olivenöl extra virgen 500ml,,"500ml (1 l = 13,98 €)",https://img.rewe-static.de/5475872/1207850_digital-image.png?imwidth=304&impolicy=kues,olivenoel
REWE Feine Welt Natives Olivenöl extra Lesvos g.g.A. 500ml,"8,99 €","500ml (1 l = 17,98 €)",https://img.rewe-static.de/2178952/22944258_digital-image.png?imwidth=304&impolicy=kues,olivenoel
REWE Bio Natives Olivenöl 750ml,"6,95 €","750ml (1 l = 9,27 €)",https://img.rewe-static.de/8427501/31887593_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Ybarra Olivenöl extra virgin 250ml,"5,69 €","250ml (1 l = 22,76 €)",https://img.rewe-static.de/8958997/40116236_digital-image.png?imwidth=304&impolicy=kues,olivenoel
Minato Olivenöl Extra Trüffel 250ml,"10,99 €","250ml (1 l = 43,96 €)",https://img.rewe-static.de/1902635/28592586_digital-image.png?imwidth=304&impolicy=kues,olivenoel
"Gaea Original griechisches Olivenöl 0,5l","11,49 €","500ml (1 l = 22,98 €)",https://img.rewe-static.de/2279229/24107622_digital-image.png?imwidth=304&impolicy=kues,olivenoel
"Gaea Olivenöl extra Hania 0,5l","11,99 €","500ml (1 l = 23,98 €)",https://img.rewe-static.de/1436312/23691880_digital-image.png?imwidth=304&impolicy=kues,olivenoel
