name,price,unit,imageUrl,product_type
Heinz Tomato Ketchup 220ml,"2,29 €","220ml (1 l = 10,41 €)",https://img.rewe-static.de/1085756/29228064_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Tomatenketchup 750ml,"3,29 €","750ml (1 l = 4,39 €)",https://img.rewe-static.de/1066994/1681110_digital-image.png?imwidth=304&impolicy=kues,sossen
Heinz Tomato Ketchup 400ml,"2,79 €","400ml (1 l = 6,98 €)",https://img.rewe-static.de/2411634/23868581_digital-image.png?imwidth=304&impolicy=kues,sossen
Born Tomaten Ketchup 450ml,"1,99 €","450ml (1 l = 4,42 €)",https://img.rewe-static.de/7787596/1026530_digital-image.png?imwidth=304&impolicy=kues,sossen
Bautz'ner Tomaten Ketchup 1l,"2,99 €",1l,https://img.rewe-static.de/1102949/11760240_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Hot Chili Ketchup 450ml,"2,29 €","450ml (1 l = 5,09 €)",https://img.rewe-static.de/2328429/24930905_digital-image.png?imwidth=304&impolicy=kues,sossen
REWE Beste Wahl Tomatenketchup 300ml,"1,29 €","300ml (1 l = 4,30 €)",https://img.rewe-static.de/7262335/28365301_digital-image.png?imwidth=304&impolicy=kues,sossen
Heinz Mayomix Mayo Ketchup Sauce 415ml,"3,49 €","415ml (1 l = 8,41 €)",https://img.rewe-static.de/7827053/35180298_digital-image.png?imwidth=304&impolicy=kues,sossen
Bautz'ner Tomaten Ketchup 500ml,"2,29 €","500ml (1 l = 4,58 €)",https://img.rewe-static.de/9013465/43112931_digital-image.png?imwidth=304&impolicy=kues,sossen
Bautz'ner Quetch'up Tomatenketchup 500ml,"2,29 €",500ml,https://img.rewe-static.de/7629896/43112928_digital-image.png?imwidth=304&impolicy=kues,sossen
hello taste Tomatenketchup vegan 300ml,"3,99 €","300ml (1 l = 13,30 €)",https://img.rewe-static.de/7720231/37781260_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Tomatenketchup ohne Zuckerzusatz 450ml,"2,29 €","450ml (1 l = 5,09 €)",https://img.rewe-static.de/0167712/1348210_digital-image.png?imwidth=304&impolicy=kues,sossen
REWE Bio Tomatenketchup 500ml,"1,89 €","500ml (1 l = 3,78 €)",https://img.rewe-static.de/0201400/2074620_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Bio Kinder Tomaten Ketchup 450ml,"3,39 €","450ml (1 l = 7,53 €)",https://img.rewe-static.de/8896076/39083305_digital-image.png?imwidth=304&impolicy=kues,sossen
